start_time,end_time,playlist_title,playlist_id,video_title,video_id,chapter_title,chapter_id,content,clip_link
0,60,Walls and Painting,india_reno_walls_and_ceilings,Wall Preparation: Indian Home Renovation Guide,vid_0000,How to Prepare Walls Before Painting in India,ch_0000,"Proper wall preparation is the most important step for a lasting paint finish. In India, new concrete walls must cure for at least 28 days before painting. Step 1: Check for efflorescence (white salt deposits) — scrub with a wire brush and treat with diluted hydrochloric acid (1:10 ratio) if present. Step 2: Fill all cracks with white cement putty for hairline cracks, or POP (Plaster of Paris) for larger gaps up to 5mm. Step 3: Apply alkali-resistant primer (e.g. Asian Paints Wall Primer) — this is mandatory for Indian monsoon climates as it prevents alkaline salts from bleeding through emulsion. Step 4: Sand after primer dries (4–6 hours). Two coats of wall putty give the smoothest finish before applying emulsion. Total prep time: 2–3 days. Skipping putty is the single biggest cause of poor paint finish in Indian homes.",https://www.asiapaintspaints.com/painting-guide
60,120,Walls and Painting,india_reno_walls_and_ceilings,Paint Quantity Calculator — Indian Standard,vid_0001,Calculating Paint Quantity for Indian Rooms,ch_0001,"To calculate paint needed for an Indian room: measure total wall area (length × height × number of walls) minus door/window openings. Standard door = 2.1m × 0.9m = 1.89 sqm. Standard window = 1.2m × 1.0m = 1.2 sqm. Coverage: Asian Paints Royale Aspira covers 140–160 sqft per litre in a 2-coat system. Formula: litres needed = (total sqft ÷ 150) × 2 coats × 1.1 (wastage factor). For a 12×10 ft bedroom (4 walls, 9 ft ceiling): wall area ≈ 720 sqft − 60 sqft openings = 660 sqft. Paint needed = (660 ÷ 150) × 2 × 1.1 ≈ 9.7 litres → buy 10L. Always buy paint from the same batch number to avoid colour variation between batches.",https://www.asianpaints.com/painting-guide/painting-calculator.html
120,180,Walls and Painting,india_reno_walls_and_ceilings,Treating Seepage and Damp in Indian Walls,vid_0002,Fixing Damp Walls in Indian Homes Before Renovation,ch_0002,"Dampness in Indian homes has three sources: rising damp (ground floor slab), seepage through external walls (monsoon), and condensation. Identify the source before treating. Rising damp shows a horizontal tide-mark up to 1 metre high. Treatment: hack out plaster to 1m height, apply Dr. Fixit Dampshield or Fosroc Renderoc waterproofing compound, re-plaster with waterproof cement. For external wall seepage: apply Dr. Fixit Roofseal or Pidilite Bituminous coating on the outer face. Injection grouting (epoxy resin) is used for active water seepage through cracks. Cost: ₹35–65/sqft for waterproofing treatment depending on severity. Never paint over damp walls — the paint will peel within 6 months. Waterproofing must be done before any interior finishing work.",https://www.drfixit.in/solutions/dampproofing
180,240,Walls and Painting,india_reno_walls_and_ceilings,False Ceiling Options for Indian Homes,vid_0003,POP False Ceiling vs Grid Ceiling — What to Choose,ch_0003,"Two main false ceiling options in India: POP (Plaster of Paris) on MS grid, and gypsum board on MS grid. POP false ceiling: better for curves and ornate designs (traditional/contemporary Indian style). Cost: ₹65–90/sqft including labour. Disadvantage: heavy, cracks in seismic zones. Gypsum board ceiling: better for rectilinear modern designs. Cost: ₹75–105/sqft. Lighter, fire-resistant (Class A), and paintable with emulsion. Installation sequence: fix primary channel (38mm) at 1200mm centres → fix cross-tee at 600mm centres → place gypsum boards → tape and jointing compound → sand → primer → paint. LED strip lighting recesses: leave 150mm cavity between main ceiling and false ceiling. For Modern Minimalist style, gypsum with recessed LED coves is the standard Indian execution.",https://www.gyproc.in/installation-guide
240,300,Walls and Painting,india_reno_walls_and_ceilings,Texture Paint Application Guide,vid_0004,Applying Texture Paint in Indian Homes,ch_0004,"Texture paint adds depth and hides surface imperfections. Popular in Indian homes for accent walls. Types: Asian Paints Royale Play (smooth/coarse), Berger Illusions. Application: surface must be primed and putty-coated first. Apply texture paste with a trowel or sponge roller. Create patterns while wet (comb, brush, stipple). One coat covers 30–40 sqft per kg. Cost: ₹180–280/sqft for texture + labour. Best suited for: living room feature walls, headboard walls in bedrooms. Avoid in kitchens and bathrooms — texture traps grease and moisture. Maintenance: texture walls are harder to repaint — budget 20% extra on repainting.",https://www.asianpaints.com/royale-play
300,360,Flooring,india_reno_flooring,Vitrified Tile Installation: Indian Contractor Method,vid_0005,Laying Vitrified Tiles in India — Step by Step,ch_0005,"Step 1: Prepare the base. The concrete sub-floor must be level (±3mm over 3m). Check with a spirit level. Use self-levelling compound (₹50–80/kg) for undulations > 5mm. Step 2: Mix tile adhesive (polymer-modified, BIS IS:15477). Ratio: 5 parts adhesive : 1 part water. Step 3: Apply adhesive in a combed pattern with a 6mm notched trowel. Work in 1 sqm sections. Step 4: Lay tiles with 2mm spacers for 600×600mm tiles. Tap with rubber mallet to bed firmly. Step 5: Check level continuously. Tile lippage > 0.5mm is visible at grazing light — adjust immediately. Step 6: Allow 24-hour curing before grouting. Use Laticrete or Fosroc grout. Step 7: Grout joint width: 2mm for rectified tiles, 3mm for non-rectified. Important: leave expansion joints at walls and every 4m — thermal expansion causes tiles to hollow out and crack in Indian summer heat if expansion joints are omitted.",https://www.kajariaceramics.com/installation-guide
360,420,Flooring,india_reno_flooring,Flooring Material Guide for Indian Homes,vid_0006,"Choosing Between Marble, Granite, and Vitrified Tile in India",ch_0006,"Marble: Premium option. Natural stone. Makrana White (Rajasthan) costs ₹80–150/sqft. Italian marble (Carrara, Statuario) costs ₹300–800/sqft. Requires polishing every 3–5 years (cost: ₹15–25/sqft). Stains easily — needs sealing. Slippery when wet. Granite: More durable than marble. Black Galaxy ₹60–90/sqft, Tan Brown ₹50–80/sqft. Near-zero maintenance. Suitable for kitchens and high-traffic areas. Vitrified tile: Best value. GVT (Glazed Vitrified Tile) 600×600mm: ₹45–80/sqft. Scratch and stain resistant. No sealing needed. Consistent colour (unlike natural stone). Large format 1200×1200mm gives premium appearance at lower cost than marble. Recommendation: For Modern Minimalist Indian bedrooms, 800×800mm or 1200×600mm rectified GVT in matte grey or ivory gives the best value-to-aesthetic ratio.",https://www.somanyceramics.com/flooring-guide
420,480,Flooring,india_reno_flooring,Bathroom Waterproofing: Indian Contractor Standard,vid_0007,Waterproofing Bathroom Floor Before Tiling,ch_0007,"Bathroom waterproofing is mandatory under Indian building practice. Skipping it causes seepage to flat below within 2–3 years. Step 1: Ensure existing screed/bed is sound. Hack any loose portions. Step 2: Apply cementitious waterproofing slurry (Dr. Fixit 2K, Pidilite Roff Fastflex) — 2 coats, 24-hour gap, applied with brush to all surfaces + 150mm up walls. Step 3: Flood test — dam the floor, fill 50mm water, leave 24 hours. No drop = pass. Step 4: Tile over waterproofed surface within 48 hours using white cement-based adhesive. Cost: ₹45–70/sqft for waterproofing. Never use bitumen-based products inside bathrooms (they off-gas). Warranty from waterproofing compounds: 10 years when correctly applied.",https://www.drfixit.in/bathroom-waterproofing
480,540,Flooring,india_reno_flooring,Natural Stone Flooring Options in India,vid_0008,Kadappa Stone and Kota Stone Flooring for Indian Homes,ch_0008,"Kota Stone: Blue-grey limestone from Kota, Rajasthan. Extremely durable. Cost: ₹28–45/sqft (material). Traditionally used in institutional and outdoor areas. Now popular for Industrial and Contemporary Indian interior styles. Finish options: natural (rough), machine-polished (smooth, ₹5/sqft extra). Kadappa Stone: Dark grey/black limestone from Andhra Pradesh. ₹35–55/sqft. Used in Traditional Indian and Japandi-inspired homes. Installation: use white cement mortar bed (1:4 cement:sand, 25mm thick). No adhesive needed — traditional Dhaba method. Allow 7 days curing before use. Acid wash after 28 days to remove cement stains. Apply coconut oil or linseed oil polish to deepen colour. Reseal annually. Avoid in wet areas (both stones are porous).",https://www.naturalstonesuppliersofIndia.com
540,600,Electrical,india_reno_electrical,Electrical Safety for Indian Home Renovation,vid_0009,Indian Home Wiring Standards — What Every Homeowner Must Know,ch_0009,"Indian homes use 230V AC, 50Hz supply. All wiring must comply with IS:732. Wire sizes for home circuits: 1.5 sqmm copper for lighting (max 800W per circuit), 2.5 sqmm for power points (max 3000W), 4 sqmm for AC/geyser circuits (max 4000W), 6 sqmm for main supply. Always use ISI-marked (BIS-certified) wires. Havells, Polycab, Finolex are reliable Indian brands. Avoid unbranded wires — fire risk is high. ELCB (Earth Leakage Circuit Breaker) is mandatory for bathroom, kitchen, and AC circuits. MCBs should be installed for every circuit in the DB. For renovation: always turn off the main MCB before any electrical work. Get a licensed electrician (ITI qualified) for all wiring — required by insurance policy.",https://www.bis.gov.in/electrical-standards
600,660,Electrical,india_reno_electrical,Bedroom Lighting Design: Indian Homes Guide,vid_0010,LED Lighting Planning for Indian Bedrooms,ch_0010,"A well-lit Indian bedroom needs three layers: ambient (general), task, and accent. Ambient: recessed LED downlights 5W–7W, spaced 1.2–1.5m apart. For a 12×10ft room: 4–6 downlights. Colour temperature: 3000K (warm white) for bedrooms. Avoid 6500K (cool daylight) in bedrooms — disrupts sleep (melatonin suppression). Task: bedside reading lamps or wall-mounted LED reading arms. Accent: LED strips in false ceiling coves (SMD 5050, 14W/metre). Smart control: Legrand Myrius or Havells modular switches. For a dimmer, ensure your bulbs are dimmable (marked on packaging). Energy calculation: LED lighting for a bedroom ≈ 80–120W total. At ₹8/unit (INR), monthly cost ≈ ₹60–90 (8 hours/day). Havells, Syska, Philips are BIS-certified Indian LED brands.",https://www.havells.com/lighting-guide
660,720,Electrical,india_reno_electrical,Modular Electrical Fittings: Indian Installation Guide,vid_0011,Installing Modular Switches and Sockets in India,ch_0011,"Modular switches are the Indian standard for homes from mid-range upwards. Brands: Legrand (French, premium), Havells Crabtree (mid-premium), Anchor Roma (mid-range), GM Modular (economy). Standard socket plate sizes in India: 2M, 4M, 6M, 8M modules. For a bedroom: 2×5A sockets (phone charging), 2×15A sockets (AC/heavy appliances), 1×TV point (coax), 1×data point (RJ45), 2×2-way switches (fan, light). Box cut depth: 35mm for standard 2M boxes. Always use PVC conduit (ISI IS:9537). Mounting height: sockets at 300mm from floor (economy) or 900mm (BIS recommended). Switch boards: 1200mm from floor. AC socket: 1800mm from floor. Leave 300mm of wire slack inside every box — allows future replacement without rewiring.",https://www.legrand.co.in/installation
720,780,Carpentry,india_reno_carpentry,Wardrobe Options for Indian Bedrooms,vid_0012,Modular vs Carpenter-Made Wardrobes in India — Cost Comparison,ch_0012,"Two routes for Indian bedroom wardrobes: modular (factory-made) and site-built (carpenter). Modular wardrobe (Godrej Interio, Spacewood, Durian): Cost: ₹18,000–45,000 for a 6ft × 8ft unit. Advantage: manufactured in controlled environment, precise tolerances, PU/UV finishes that last longer. Lead time: 4–6 weeks. Site-built (local carpenter using plywood + laminate): Cost: ₹900–1,500/sqft of wardrobe face area. Cheaper for complex configurations. Flexibility: can adapt to non-standard room dimensions and slopes. Material recommendation: 19mm Greenply Club Prime BWR plywood for carcass, 1mm Merino/Greenlam HPL laminate for shutters. Avoid MDF in humid Indian climate — it swells. Hardware: Hettich or Häfele hinges and channels (German brands, widely available). Soft-close drawer channels add ₹800–1,200 per drawer but greatly improve feel.",https://www.godrejinterio.com/wardrobe-guide
780,840,Carpentry,india_reno_carpentry,TV Unit Construction: Indian Home Renovation,vid_0013,Building a TV Unit in India — Materials and Process,ch_0013,"A wall-mounted floating TV unit is the most popular choice in Indian living rooms today. Design: 2400mm wide × 450mm deep × 300mm high unit with LED cove above. Material: 19mm Marine Ply carcass (for areas near AC — prevents warping). Shutters: Acrylic high-gloss or Matt finish laminate. Back panel: 12mm ply with wallpaper or PU paint for contrast. Mounting: use 10mm MS steel angle brackets anchored into wall with M8 anchor bolts. Weight capacity: 60–80kg for 2400mm unit using 4 anchor points. Cable management: drill 40mm holes at strategic points for HDMI and power cables. Cost for floating TV unit: ₹22,000–55,000 depending on finish (carpenter-made). LED strip on top of TV unit for ambient backlight: SMD 3528 warm white, 7W/m.",https://www.hafele.co.in/furniture-fittings
840,900,Carpentry,india_reno_carpentry,Modular Kitchen Guide: Indian Homes,vid_0014,Modular Kitchen Construction in India — BOQ and Process,ch_0014,"Indian modular kitchens follow the L-shape or U-shape layout in most 2BHK flats. Carcass standard: 18mm BWR plywood. Shutter options and costs (per running foot of shutter): Acrylic high-gloss: ₹450–700/rft. PU paint on MDF: ₹550–900/rft. Membrane on MDF: ₹350–550/rft. Laminate: ₹280–420/rft. Platform (counter top): Granite slab ₹180–350/rft. Quartz (engineered) ₹450–900/rft. Sink: Carysil, Nirali, or Franke undermount stainless steel: ₹4,500–18,000. Faucet: Jaquar or Hindware single-lever ₹2,500–6,500. Hardware: Hettich tandem box drawers ₹1,800–2,800 per drawer (recommended). Total kitchen cost estimate per sqft of covered platform area: ₹1,800–3,500 for mid-range finish. Timeline: 4–6 weeks for fabrication + 2 days installation.",https://www.hettich.com/in/kitchen-solutions
900,960,Plumbing,india_reno_plumbing,Bathroom Renovation Step by Step: Indian Contractor Guide,vid_0015,Bathroom Renovation Sequence in India — Correct Order,ch_0015,"The correct sequence for Indian bathroom renovation is critical — doing it out of order causes rework and cost overruns. Step 1: Hack existing tiles and plaster. Step 2: Run new concealed plumbing (CPVC or uPVC pipe). All pipes in conduit inside walls. Step 3: Waterproof floor and wall up to 300mm height. Flood test 24 hours. Step 4: Lay floor tiles. Slope must be 1:100 toward drain. Step 5: Tile walls. Use white cement tile adhesive (Laticrete, Fosroc). Step 6: Plumbing fixtures (EWC, wash basin) — install after tiling is 100% complete. Step 7: Electrical fixtures (exhaust fan, geyser point, light). Step 8: Accessories (towel rail, soap dish, mirror). Last step: silicon sealant at all joints. Timeline: 7–10 working days for a standard Indian bathroom (45–60 sqft).",https://www.jaquar.com/bathroom-renovation-guide
960,1020,Plumbing,india_reno_plumbing,Bathroom Fittings Comparison for Indian Homes,vid_0016,Choosing Bathroom Fittings in India — Jaquar vs Hindware vs Cera,ch_0016,"Indian bathroom fittings market is dominated by three tiers: Premium: Jaquar, Grohe (German, imported), Kohler (American). Mid-range: Hindware, Cera, Parryware. Economy: Croma, Supreme, local brands. Jaquar: Best after-sales service in India (3000+ touchpoints). Single-lever basin mixer: ₹2,800–8,500. Concealed divertor: ₹4,500–12,000. Hindware: Better value. Similar quality in CP fittings. Basin mixer: ₹1,800–5,500. EWC (WC): Hindware Contessa wall-hung ₹12,000–18,000. Floor-mount Hindware ₹6,500–11,000. Cera: Strong in mid-range EWCs. Good warranty (5 years on ceramics). Wash basin sizes: Counter-top (vessel) for modern look, under-counter for clean lines. Avoid brands not having ISI or BIS mark — chromium plating quality is unregulated otherwise.",https://www.jaquar.com/products
1020,1080,Structural,india_reno_structural,Wall Crack Analysis: Indian Building Guide,vid_0017,Understanding Cracks in Indian Homes — When to Worry,ch_0017,"Not all cracks are structural. Classification for Indian homes: Hairline cracks (< 0.2mm wide): Normal settlement cracks in plaster. Fill with white cement putty + primer. No structural concern. Fine cracks (0.2–1mm): Monitor for 6 months. If stable, fill with elastomeric sealant + paint. Medium cracks (1–5mm): May indicate foundation settlement or RCC shrinkage. Get a structural engineer assessment. Fill with polyurethane sealant. Wide cracks (> 5mm, especially diagonal or step-shaped in brickwork): STOP all renovation work. Call a structural engineer immediately. These may indicate differential foundation settlement — a serious structural defect. Note: diagonal cracks at door/window corners are common in Indian brick masonry due to lintel deflection — usually cosmetic if less than 3mm. Season check: measure crack width in summer and monsoon — if it varies > 2mm, it is live.",https://www.cpwd.gov.in/manuals/civil
1080,1140,Structural,india_reno_structural,Termite Proofing for Indian Homes,vid_0018,Anti-Termite Treatment in India — During and After Construction,ch_0018,"Termite (white ant) infestation is a serious concern in Indian homes, especially in peninsular India, Bengal, and coastal regions. Two types of treatment: pre-construction (during renovation) and post-construction. Pre-construction: Apply Chlorpyrifos or Imidacloprid emulsion to soil around foundation, under floor slab, and around plumbing entry points before laying floor. Post-construction: Drill holes at 450mm centres along external walls at floor level, inject chemical under pressure, seal with cement. Cost: ₹3–6/sqft for pre-construction, ₹8–14/sqft for post-construction drilling method. Approved chemicals: BIS IS:6313 (anti-termite treatment standard). All woodwork (plywood, door frames) should be brush-treated with boron-based preservative. Termite AMC (Annual Maintenance Contract): ₹1,500–3,500/year, strongly recommended.",https://www.bis.gov.in/anti-termite-treatment
1140,1200,Structural,india_reno_structural,Understanding RCC in Indian Buildings,vid_0019,Rebar and Concrete in Indian Home Renovation,ch_0019,"During renovation, homeowners often need to understand RCC (Reinforced Cement Concrete) members to know what can and cannot be demolished. NEVER cut, drill, or hack into columns, beams, or slabs without a structural engineer's approval. Columns (pillars) carry the building load — any damage can be catastrophic. In Indian construction: columns are typically 230×230mm or 300×300mm. Load-bearing walls (common in old construction pre-1990): Do NOT hack these for chasing — use surface conduit instead. Test: tap the wall; a hollow sound = partition, a solid dull sound = load-bearing. For new openings in non-load-bearing brick walls: provide an RCC lintel of minimum 150mm bearing on each side. Steel used: Fe500 TMT (Tata Tiscon, SAIL, Jindal Steel) — always ISI marked. Chasing for electrical conduit: maximum depth 20mm in 115mm thick wall. No horizontal chasing allowed.",https://www.cpwd.gov.in/manuals/structural
1200,1260,Kitchen,india_reno_kitchen,Kitchen Renovation Step by Step: Indian Homes,vid_0020,Indian Kitchen Renovation Sequence and Timeline,ch_0020,"Kitchen renovation in India follows a strict sequence to avoid rework. Week 1: Demolition — remove existing tiles, platform, and fittings. Plumbing rough-in — relocate supply and drain pipes if changing layout. Electrical rough-in — conduits for chimney, microwave, refrigerator, and geysers. Week 2: Waterproofing of wet zone. Tile laying (floor first, then wall). Week 3: Platform slab (granite/quartz cutting and installation). Cabinet carcass installation. Week 4: Shutters, hardware, appliances. Plumbing fixtures (sink, tap). Snag list and punch-out. Timeline: 3–4 weeks for a standard 80–100 sqft Indian kitchen. Common Indian kitchen chimney brands: Faber, Hindware, Elica, Glen. Chimney suction: minimum 900 m³/hr for Indian cooking (high smoke, masala frying).",https://www.faberhome.in/kitchen-guide
1260,1320,Kitchen,india_reno_kitchen,Kitchen Tile Selection Guide for Indian Homes,vid_0021,Choosing Kitchen Tiles in India — Wall vs Floor,ch_0021,"Indian kitchen tiles must handle high grease, heat, and frequent cleaning. Wall tiles (backsplash behind platform and cooking area): Kajaria Maximus or RAK Ceramics 300×600mm glossy ceramic — easy to wipe clean. Cost: ₹38–75/sqft. Avoid matte tiles behind the cooking hob — absorbs grease permanently. Grout: epoxy grout (Laticrete Spectralock) for platform backsplash — does not stain or harbour bacteria. Floor tiles: Anti-skid is mandatory. Somany Duragres HD R11 rating or better. Size: 600×600mm for Indian kitchens (avoids too many grout joints). Colour: mid-tone (light grey, beige) for floors — hides spills between mopping. Avoid white floor tiles in Indian kitchens — staining is permanent from turmeric and masala. Total kitchen tile cost (material + labour): ₹85–140/sqft for wall, ₹75–120/sqft for floor.",https://www.kajariaceramics.com/kitchen
1320,1380,General Renovation,india_reno_general,Contractor Management for Indian Home Renovation,vid_0022,How to Hire and Manage Contractors in India,ch_0022,"Hiring the right contractor is the most important decision in Indian home renovation. Step 1: Get 3 quotes minimum. Ask for itemised BOQ (Bill of Quantities), not a lump sum. Step 2: Verify previous work — visit at least one completed project site. Step 3: Check if contractor has licensed sub-contractors for electrical and plumbing (mandatory by law). Payment terms: 10% advance, 30% on completion of civil work, 30% on completion of finishing, 20% on completion, 10% retention (release after 3 months post-handover). Never pay more than 40% before work begins. Written contract must include: scope of work, materials spec (brand, grade, finish), timeline with milestones, payment schedule, and defect liability period (minimum 1 year). Red flags: contractors who refuse to give itemised quotes, ask for > 50% advance, cannot show previous work references, or suggest omitting waterproofing to save cost.",https://www.cpwd.gov.in/contractor-empanelment
1380,1440,General Renovation,india_reno_general,GST and Taxes on Indian Home Renovation,vid_0023,GST on Home Renovation in India — What You Need to Know,ch_0023,"GST applies to renovation services and materials in India. Construction services (labour + material): 18% GST (SAC 9954). Materials purchased separately: 18% GST on most building materials. Tiles, sanitaryware, electrical fittings: 18% GST. Cement: 28% GST. Steel: 18% GST. Paint: 18% GST. As a residential homeowner, you cannot claim GST input credit — it is a cost. Ensure your contractor gives GST invoice (registered contractor). To verify: GST number format is 15 digits starting with your state code. Verify at: https://www.gst.gov.in/taxpayersearch Budget: add 18% on top of all material + labour costs for GST. An unregistered contractor (below ₹20L turnover) should not charge GST — if they do, it is fraudulent. Ask for registration certificate.",https://www.gst.gov.in/
1440,1500,General Renovation,india_reno_general,Bill of Quantities Explained: Indian Renovation,vid_0024,How to Read a BOQ for Indian Home Renovation,ch_0024,"A BOQ (Bill of Quantities) is the master cost document for Indian renovation. A good BOQ has: Item description (specific brand + grade), Unit (sqft, rft, nos, sqm), Quantity, Rate (per unit), and Amount. Key line items to check in any bedroom renovation BOQ: - Wall putty: qty = wall area in sqft, rate should be ₹12–18/sqft. - Primer: qty = wall area, rate ₹6–10/sqft. - Paint (emulsion): qty = wall area, rate ₹28–45/sqft (2 coats). - False ceiling: qty = ceiling area in sqft, rate ₹75–110/sqft. - Flooring (vitrified tile supply + fix): qty = floor area, rate ₹95–160/sqft. - Electrical points: qty = number, rate ₹850–1,500 per point. Rates above are Hyderabad Q1 2025 — multiply by 1.2 for Mumbai, 1.15 for Bangalore. Ask for CPWD DSR (Delhi Schedule of Rates) as a reference benchmark.",https://www.cpwd.gov.in/dsr
1500,1560,General Renovation,india_reno_general,How to Buy Materials for Indian Home Renovation,vid_0025,Material Procurement Strategy for Indian Home Renovation,ch_0025,"Smart material procurement saves 15–25% on Indian renovation costs. Tiles and stone: Buy from manufacturer's studio showroom (Kajaria, Somany, Nitco) — better variety and slightly lower price than distributor. Bargain for 5–10% dealer discount on bulk orders. Paint: Buy factory pack directly (20L bucket) rather than smaller packs — 15–20% cheaper per litre. Plywood: Buy from authorised dealer (Greenply, Century Ply) not unbranded. Check for BIS mark and batch numbers. Electrical: Buy modular switches and wires from electrical distributor, not retail — 10–15% cheaper. Sanitary ware: Bathroom fittings at trade price are 20–30% below MRP — ask for trade invoice. Steel and cement: Buy only as needed — cement has a 3-month shelf life. Lock-in prices: For materials with volatile prices (steel, copper wire), lock the rate in writing at time of BOQ signing — prices can move 5–8% in a 4-week project window.",https://www.indiamart.com/building-construction-materials
1560,1620,Vastu and Design,india_reno_vastu_and_design,Vastu Tips for Indian Home Renovation,vid_0026,Vastu Shastra in Indian Home Renovation — Practical Guide,ch_0026,"Vastu Shastra influences many Indian renovation decisions. Key practical rules: Main entrance: Northeast, North, or East facing is preferred. Master bedroom: Southwest corner of the house for stability. Kitchen: Southeast corner (Agni — fire direction) is ideal. Avoid: kitchen or toilet in the Northeast corner (Ishanya — sacred direction). Bedroom colours: Light pastel shades (cream, light green, light blue) are Vastu-positive. Avoid red or dark colours in the bedroom per Vastu. Mirror placement: Mirrors should not face the bed. Place on the North or East wall. Bed position: Head towards South or East when sleeping. Never North (magnetic field disruption). Storage: Heavy items (wardrobes, safes) in Southwest. Light furniture in Northeast. Note: Vastu recommendations can often be achieved without structural changes — colour, furniture placement, and mirror position adjustments are usually sufficient.",https://www.vaastushastra.com/residential
1620,1680,Vastu and Design,india_reno_vastu_and_design,How to Achieve Modern Minimalist in Indian Flats,vid_0027,Modern Minimalist Style in Indian Homes — Execution Guide,ch_0027,"Modern Minimalist in Indian homes is defined by: neutral palette, clean lines, hidden storage, and uncluttered surfaces. Key execution principles: Flooring: Large-format GVT tiles (800×800mm or 1200×600mm) in matte white, grey, or beige. Walls: Single accent wall (headboard wall in bedroom, TV wall in living room). Rest of walls: flat matte white or warm grey emulsion. Ceiling: Gypsum board false ceiling with recessed LEDs only. No ornate POP. Colour palette: White + grey + one accent (teal, black, or warm oak). Furniture: Low-profile (bed height max 400mm from floor), wall-mounted units, no ornate carving. Common Indian mistake: mixing minimalist finishes with ornate grilles, heavy curtains, and patterned wallpaper — the style requires consistency across all elements. Best Indian brands for minimalist fittings: Legrand (switches), Jaquar Eon series (fittings), Greenply MDF with PU finish (furniture), Kajaria Nexion series (tiles).",https://www.architecturaldigest.in/minimalist-homes
1680,1740,Vastu and Design,india_reno_vastu_and_design,Space Optimisation for Indian Apartment Renovation,vid_0028,Space Planning for Indian 2BHK and 3BHK Apartments,ch_0028,"Indian apartments (2BHK: 600–1000 sqft, 3BHK: 1000–1600 sqft) require careful space planning. Master bedroom: minimum 10×12ft for a comfortable double bed + wardrobe + movement space. Standard bed size in India: Queen (5×6.5ft), King (6×6.5ft). Space-saving tips for Indian bedrooms: 1. Floor-to-ceiling wardrobe (9–10ft height) maximises storage without floor footprint. 2. Under-bed storage drawers (hydraulic lifts: ₹3,500–6,500 per set). 3. Mirrored wardrobe shutters visually double the room. 4. Wall-mounted bedside tables (no floor footprint, easy cleaning). 5. Wall-mounted study table folds flat when not in use (₹4,500–9,000). Living room: L-shaped sofa with ottomans (dual use as coffee table storage). Avoid centre rugs in small rooms — makes the space feel smaller. Light colours on walls make small Indian apartments feel larger.",https://www.architecturaldigest.in/small-apartment-design
